,img_1_0,img_1_1,img_2_0,img_2_1,img_3_0,img_3_1,img_4_0,img_5_0,img_6_0,img_7_0,img_8_0,img_8_1,img_8_2,img_8_3,img_8_4,img_8_5,img_8_6,img_8_7,img_9_0,img_10_0
img_1_0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_1_1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_2_0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_2_1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_3_0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_3_1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_4_0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
img_5_0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
img_6_0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
img_7_0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
img_8_0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
img_8_1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
img_8_2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
img_8_3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
img_8_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
img_8_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
img_8_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
img_8_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
img_9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
img_10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
