image number,alt,article_heading
image_1_1.jpg,Polaris,Video Shows Moment SpaceX Polaris Dawn Mission Returns to Earth
image_2_1.jpg,Iran Chamran-1 satellite,Iran Launches New Satellite Into Space Using Technology Feared by West
image_3_1.jpg,Polaris Dawn,SpaceX Polaris Dawn: Video Shows US Billionaire on First Private Spacewalk
image_4_1.jpg,Polaris Dawn,Watch: Live Polaris Spacewalk
image_4_2.jpg,Jared Isaacman,Watch: Live Polaris Spacewalk
image_4_3.jpg,Sarah Gillis,Watch: Live Polaris Spacewalk
image_5_1.jpg,Europa Clipper,Jupiter Mission to Study Moon's Underground Ocean
image_6_1.jpg,rocket launch,SpaceX Launches World's First Private Spacewalk Mission
image_6_2.jpg,A map shows the location of Launch Complex 39A in the Kennedy Space Center on Merritt Island Florida.,SpaceX Launches World's First Private Spacewalk Mission
image_7_1.jpg,sun filament and aurora,Auroras Forecast Over US After Sun Expels 'Dark Plasma' at Earth
image_8_1.jpg,exoplanets,'Very Unusual' Shimmying World Challenges Theories on Planet Formation
image_9_1.jpg,exoplanet hot jupiter,Astronomers Detect 'Powerful Iron Winds' on Ultrahot World
image_10_1.jpg,asteroid,Watch: Asteroid 'Fireball' Seen After Only Ninth-Ever Pre-Impact Detection
