image number,alt,article_heading
image_1_1.jpg,Xuan Bac: Kun Marathon helps children love exercise more,Xuan Bac: Kun Marathon ignites love of sports in children
image_1_2.jpg,He helped a young runner overcome his fear to complete the race. Photo:VM,Xuan Bac: Kun Marathon ignites love of sports in children
image_1_3.jpg,Children participate in overcoming obstacles. Photo: VM,Xuan Bac: Kun Marathon ignites love of sports in children
image_2_1.jpg,Nigel and Sheila Jacklin were embroiled in an 11-year legal battle after neighbours accused them of staring. Photo: Metro,British people suffer because of bad neighbors
image_2_2.jpg,Mr. Mark Deacon 60 years old is like a soulless body every time he has to endure noise from his neighbors at home. Photo: Metro,British people suffer because of bad neighbors
image_3_1.jpg,Illustration photo: Korea Herald,The sadness of Korean fathers
image_4_1.jpg,Mr. Hoang Viet Ai and his wife Nguyen Thi Thom at K Hospital Tan Trieu branch Hanoi to take care of their son with a left frontal brain tumor on the afternoon of September 14. Photo: Quynh Nguyen,The struggle of a family 'whole family in hospital'
image_4_2.jpg,Mr. Ai and his wife stay in the hospital room to take care of their son Hoang Viet Nghia who has a left frontal brain tumor on the afternoon of September 14. Photo: Family provided,The struggle of a family 'whole family in hospital'
image_5_1.jpg,Passengers at Seoul Station South Korea September 2024. Photo: Korea Herald,Korean couple stressed over Mid-Autumn Festival
image_6_1.jpg,Hai Yen and her husband take wedding photos 2019. Photo: Sarah,Vietnamese girl 'struck by lightning' Korean guy
image_6_2.jpg,Hai Yen when she was studying abroad in Taichung Taiwan in 2018. Photo: Sarah,Vietnamese girl 'struck by lightning' Korean guy
image_6_3.jpg,Hai Yen and her husband and son taking a souvenir photo 2023. Photo: Sarah,Vietnamese girl 'struck by lightning' Korean guy
image_7_1.jpg,Hoang Huy and Phuong Thanh in Dak Lak February 2023. Photo provided by Character,The love story of a construction worker and a girl with a crooked face
image_7_2.jpg,Hoang Huy and Phuong Thanh's wedding in Soc Trang May 2024. Photo: Character provided,The love story of a construction worker and a girl with a crooked face
image_8_1.jpg,Ms. Bich Huong came to school to take a souvenir photo with her grandchild on the occasion of her graduation August 2024. Photo provided by the character,Grandparents do not take care of their grandchildren for their children.
image_8_2.jpg,Mr. Giao (in plaid shirt) and Mrs. Coc (fourth from right) took a souvenir photo with their children and grandchildren on the occasion of awarding the scholarship fund he established to the children on September 3. Photo provided by the character,Grandparents do not take care of their grandchildren for their children.
image_8_3.jpg,Mrs. Bich Huong filled the room with balls so that her grandchildren would have a place to play when they came to visit. Photo provided by the character,Grandparents do not take care of their grandchildren for their children.
image_9_1.jpg,Baby Hoang Anh when he first got sick at the age of 7. Photo: Family provided,The anguish of a mother whose child has cancer
image_9_2.jpg,Ms. Thuy and her daughter. Photo: Family provided,The anguish of a mother whose child has cancer
image_9_3.jpg,Little Hoang Anh is cooking under the guidance of his grandmother in a house in Ward 11 Go Vap District Ho Chi Minh City. Photo: Family provided,The anguish of a mother whose child has cancer
image_10_1.jpg,Two children are prepared by their father before going to school in Boryeong South Korea in March 2021. Photo: Reuters,More and more South Korean men are taking parental leave.
