image number,alt,article_heading
image_1_1.jpg,Joint military parade of forces celebrating the 70th anniversary of Dien Bien Phu victory. Photo: Giang Huy,No parade to celebrate the 80th anniversary of the founding of the Vietnam People's Army
image_2_1.jpg,General Vo Nguyen Giap and his wife Dang Bich Ha. Photo: Tran Hong,General Vo Nguyen Giap's wife rests in peace at Vung Chua - Yen Island
image_3_1.jpg,General Secretary President and his wife at Noi Bai airport this morning. Photo: VNA,General Secretary and President departs for US and Cuba tour
image_4_1.jpg,Delegates attending the Central Conference. Photo: Hoang Phong,Announcement of three working days of the 10th Conference of the 13th Central Committee
image_5_1.jpg,General Secretary and President To Lam delivers the closing speech. Photo: Hoang Phong,The Central Committee agreed to strongly innovate the work of organizing cadres.
image_5_2.jpg,Delegates attending the 10th Central Conference of the 13th term. Photo: Hoang Phong,The Central Committee agreed to strongly innovate the work of organizing cadres.
image_5_3.jpg,Panorama of the closing session. Photo: Hoang Phong,The Central Committee agreed to strongly innovate the work of organizing cadres.
image_6_1.jpg,Mr. Ha Quoc Tri. Photo: Xuan Thanh,The Central Inspection Commission has two more members.
image_7_1.jpg,Central Committee meeting closing session. Photo: Nhat Bac,The Central Committee introduces personnel planning for the 14th Politburo
image_8_1.jpg,Opening session of the 10th conference of the 13th Party Central Committee. Photo: Nhat Bac,The Central Committee discussed the draft Political Report to be submitted to the 14th Congress.
image_9_1.jpg,A motorcyclist in Hanoi is asked to blow into a breathalyzer. Photo: Hoang Phong,Officials and civil servants who violate alcohol concentration will be disciplined.
image_10_1.jpg,General Secretary and President To Lam. Photo: Giang Huy,General Secretary and President To Lam is about to visit the US and Cuba.
