,img_2_0,img_2_1,img_3_0,img_4_0,img_4_1,img_5_0,img_6_0,img_7_0,img_8_0,img_9_0,img_9_1,img_10_0,img_11_0,img_11_1
img_2_0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
img_2_1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
img_3_0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
img_4_0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
img_4_1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
img_5_0,0,0,0,0,0,4,0,0,4,4,4,0,0,0
img_6_0,0,0,0,0,0,0,4,4,0,0,0,2,2,4
img_7_0,0,0,0,0,0,0,4,4,0,0,0,2,2,4
img_8_0,0,0,0,0,0,4,0,0,4,3,2,0,0,0
img_9_0,0,0,0,0,0,4,0,0,3,4,0,0,0,0
img_9_1,0,0,0,0,0,4,0,0,2,0,4,0,0,0
img_10_0,0,0,0,0,0,0,2,2,0,0,0,4,4,2
img_11_0,0,0,0,0,0,0,2,2,0,0,0,4,4,0
img_11_1,0,0,0,0,0,0,4,4,0,0,0,2,0,4
