image number,alt,article_heading
image_1_1.jpg,Melissa Jubane Found Deceased,Missing Newlywed Nurse 32 Found Dead Days After Hawaii Wedding as Neighbor 27 Is Charged with Her Murder
image_1_2.jpg,Melissa Jubane Found Deceased,Missing Newlywed Nurse 32 Found Dead Days After Hawaii Wedding as Neighbor 27 Is Charged with Her Murder
image_2_1.jpg,JONBENET PATRICIA RAMSEY,JonBenét Ramsey's Dad Says Male DNA on Garrote Still Hasn't Been Tested: 'I Don't Know Why'
image_2_2.jpg,Ana Garcia True Crime News show,JonBenét Ramsey's Dad Says Male DNA on Garrote Still Hasn't Been Tested: 'I Don't Know Why'
image_3_1.jpg,ke'erinie king Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School,Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School
image_3_2.jpg,The roof of a police patrol car at night with the blue and red lights flashing.,Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School
image_3_3.jpg,ke'erinie king Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School,Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School
image_3_4.jpg,Accident or crime scene cordon tape police line do not cross. ,Memphis Mother Charged After 6-Year-Old Brings Loaded Gun to School
image_4_1.jpg,Vehicles pass a billboard of Paulette Gebara Farah with the words in Spanish "Disappeared help us find her" in Mexico City Wednesday March 31 2010.,A 4-Year-Old Girl Vanished from Her Bed and Was Later Found Dead There. What Happened to Paulette Gebara Farah?
image_4_2.jpg,Vehicles pass a billboard of Paulette Gebara Farah with the words in Spanish "Disappeared help us find her" in Mexico City Wednesday March 31 2010.,A 4-Year-Old Girl Vanished from Her Bed and Was Later Found Dead There. What Happened to Paulette Gebara Farah?
image_4_3.jpg,State of Mexico forensic experts stand outside of the Gebara Farah home in the town of Huixquilucan on the outskirts of Mexico City Wednesday March 31 2010.,A 4-Year-Old Girl Vanished from Her Bed and Was Later Found Dead There. What Happened to Paulette Gebara Farah?
image_5_1.jpg,Sheriff’s Deputy 25 Stalked and Killed by Her Father in Utah Authorities Say,Father of Utah Police Officer Accused of Stalking and Killing Her Before Allegedly Fleeing the Country
image_5_2.jpg,Sheriff’s Deputy 25 Stalked and Killed by Her Father in Utah Authorities Say,Father of Utah Police Officer Accused of Stalking and Killing Her Before Allegedly Fleeing the Country
image_5_3.jpg,Sheriff’s Deputy 25 Stalked and Killed by Her Father in Utah Authorities Say,Father of Utah Police Officer Accused of Stalking and Killing Her Before Allegedly Fleeing the Country
image_6_1.jpg,Wide receiver Ricky Pearsall #14 of the San Francisco 49ers stands on the field prior to an NFL preseason football game against the New Orleans Saints at Levi's Stadium on August 18 2024 in Santa Clara California.,Ricky Pearsall's 49ers Teammates Recall ‘Really Tough’ Moments After He Was Shot: ‘Thank God He’s Even Alive’
image_6_2.jpg,Ricky Pearsall #14 of the San Francisco 49ers during training camp at SAP Performance Facility on July 31 2024 in Santa Clara California.,Ricky Pearsall's 49ers Teammates Recall ‘Really Tough’ Moments After He Was Shot: ‘Thank God He’s Even Alive’
image_6_3.jpg,Ricky Pearsall #WO23 of Florida participates in a drill during the NFL Combine at the Lucas Oil Stadium on March 2 2024 in Indianapolis Indiana,Ricky Pearsall's 49ers Teammates Recall ‘Really Tough’ Moments After He Was Shot: ‘Thank God He’s Even Alive’
image_7_1.jpg,seikeya jones has been reported found dead in a suitcase in Long Island,Remains of Missing 31-Year-Old Woman Found in Suitcase Outside Long Island Apartment: Reports
image_7_2.jpg,Suffolk County Police patrol,Remains of Missing 31-Year-Old Woman Found in Suitcase Outside Long Island Apartment: Reports
image_7_3.jpg,Suffolk County Police Department,Remains of Missing 31-Year-Old Woman Found in Suitcase Outside Long Island Apartment: Reports
image_8_1.jpg,Colin Gray 54 the father of Apalachee High School shooting suspect Colt Gray 14 sits in the Barrow County courthouse for his first appearance on September 6 2024 in Winder Georgia. ,Father of Georgia School Shooter Told Police in Newly Released 2023 Audio That ‘Greatest Day’ Was When Son Killed 1st Deer
image_8_2.jpg,This booking photo obtained on September 6 2024 from the Barrow County Sheriff's Office shows Colt Gray; This booking photo obtained on September 6 2024 from the Barrow County Sheriff's Office shows Colin Gray ,Father of Georgia School Shooter Told Police in Newly Released 2023 Audio That ‘Greatest Day’ Was When Son Killed 1st Deer
image_9_1.jpg,man texting on phone,Former Science Teacher Sentenced for Trying to Pay for Sex with Children: 'The Younger the Better'
image_10_1.jpg,Doug Benefield was killed by his wife Ashley a dancer.,'Black Swan' Had a Gun in Her Bra the Night She Met Her Husband. 4 Years Later She Killed Him
image_10_2.jpg,Ashley Benefield is accused of killing her estranged husband Doug Benefield and is attempting to have the case dismissed under Florida's Stand Your Ground law. The hearing on the justifiable use of force immunity defense began Thursday July 6 2023 at the Manatee County Judicial Center in Bradenton Florida and is expected to last two days.,'Black Swan' Had a Gun in Her Bra the Night She Met Her Husband. 4 Years Later She Killed Him
image_10_3.jpg,ashley benefield,'Black Swan' Had a Gun in Her Bra the Night She Met Her Husband. 4 Years Later She Killed Him
image_10_4.jpg,ashley benefield and husband doug,'Black Swan' Had a Gun in Her Bra the Night She Met Her Husband. 4 Years Later She Killed Him
