article_url,true_labels
https://www.theguardian.com/technology/article/2024/aug/30/apple-android-google-or-retro-whats-the-best-first-phone-to-get-for-your-kids,"[0,4,4,4,4,0,0]"
https://www.theguardian.com/music/article/2024/aug/30/harry-styles-twemlow-viaduct-fence,"[4,3,0,0]"
https://www.theguardian.com/us-news/article/2024/aug/29/harris-walz-interview-election,"[0,2]"
https://www.theguardian.com/global-development/article/2024/aug/30/iraqi-border-town-food-delivery-service-qaim-kitchen,"[3,2,1]"
https://www.theguardian.com/society/article/2024/aug/29/smoking-ban-beer-gardens-reaction,"[3,2,0,0]"
https://www.theguardian.com/film/article/2024/aug/30/you-laugh-the-hardest-in-grief-and-mrs-the-cathartic-romcom-about-marrying-your-dead-fiance,"[4,2]"
https://www.theguardian.com/travel/article/2024/aug/30/footsteps-of-dh-lawrence-across-the-alps-switzerland-to-italy,"[4,0,1,3,1]"
https://www.theguardian.com/sport/article/2024/aug/29/poppy-maskill-paralympicsgb-swimming-world-record,"[4,3]"
https://www.theguardian.com/sport/article/2024/aug/29/jurgen-klopp-wojtek-czyz-badminton-paris-paralympics,"[4,4]"
https://www.theguardian.com/sport/article/2024/aug/29/jannik-sinner-alex-michelsen-us-open-tennis,"[4,0]"
https://www.theguardian.com/football/article/2024/aug/30/federico-chiesa-liverpool-juventus-italy,"[0,4,2]"
